,txvalue
2019-07-14,-44763430000
2019-07-15,724592110000
2019-07-16,20005249490000
2019-07-17,20879597270000
2019-07-18,-621253440000
2019-07-19,-18077061650000
2019-07-20,-114420910000
2019-07-21,-446224100000
2019-07-22,768737110000
2019-07-23,-1347777980000
2019-07-24,17518489410000
2019-07-25,-420049880000
2019-07-26,2394200420000
2019-07-27,-48556670000
2019-07-28,-22875180000
2019-07-29,13364559310000
2019-07-30,106356560000
2019-07-31,-1151396590000
2019-08-01,-6592183080000
2019-08-02,-6601533550000
2019-08-03,822826080000
2019-08-04,-10850720000
2019-08-05,7829106450000
2019-08-06,2618851190000
2019-08-07,-487985460000
2019-08-08,-1380762330000
2019-08-09,-10670538410000
2019-08-10,1980745720000
2019-08-11,-36651000000
2019-08-12,-715216750000
2019-08-13,-602985370000
2019-08-14,-2806336960000
2019-08-15,44235050000
2019-08-16,1553726790000
2019-08-17,-1006491340000
2019-08-18,990173160000
2019-08-19,-2076516350000
2019-08-20,-2083792700000
2019-08-21,22517731170000
2019-08-22,364830560000
2019-08-23,-439764220000
2019-08-24,-1318563450000
2019-08-25,-701752450000
2019-08-26,-6771613690000
2019-08-27,-4802072010000
2019-08-28,96948920000
2019-08-29,23820999260000
2019-08-30,4128908710000
2019-08-31,-24701800000
2019-09-01,-22106460000
2019-09-02,-3536445760000
2019-09-03,-6791312650000
2019-09-04,-13772649490000
2019-09-05,23223779470000
2019-09-06,-6609331700000
2019-09-07,274231800000
2019-09-08,-3009683230000
2019-09-09,-3289117070000
2019-09-10,-1449501630000
2019-09-11,-2881372200000
2019-09-12,-1042847570000
2019-09-13,-7166109600000
2019-09-14,-470048850000
2019-09-15,-519292800000
2019-09-16,-3613399550000
2019-09-17,-9477014620000
2019-09-18,-9968548850000
2019-09-19,-1839139000000
2019-09-20,-6782877690000
2019-09-21,-676108460000
2019-09-22,-708419490000
2019-09-23,-3318650120000
2019-09-24,-1237968140000
2019-09-25,28272786580000
2019-09-26,1146225950000
2019-09-27,10153181950000
2019-09-28,-229623710000
2019-09-29,178174350000
2019-09-30,1219689030000
2019-10-01,-1747581260000
2019-10-02,29541972590000
2019-10-03,18620988660000
2019-10-04,807282560000
2019-10-05,-236940030000
2019-10-06,-733612870000
2019-10-07,-3879899810000
2019-10-08,-4110845730000
2019-10-09,-4272318420000
2019-10-10,6173140720000
2019-10-11,-215058200000
2019-10-12,-14002200000
2019-10-13,-188242000000
2019-10-14,-69793070000
2019-10-15,2871196920000
2019-10-16,3354050560000
2019-10-17,-437329190000
2019-10-18,752356430000
2019-10-19,311961110000
2019-10-20,-16070370000
2019-10-21,1904349530000
2019-10-22,-15354063000000
2019-10-23,2022012490000
2019-10-24,14478194640000
2019-10-25,3970728510000
2019-10-26,-196958340000
2019-10-27,-5789587320000
2019-10-28,-1992039180000
2019-10-29,-2575696250000
2019-10-30,-4133237820000
2019-10-31,-4175976930000
2019-11-01,7567736930000
2019-11-02,-1018582050000
2019-11-03,-1566507940000
2019-11-04,-20586923380000
2019-11-05,21654272040000
2019-11-06,-9280160230000
2019-11-07,-548412830000
2019-11-08,-5624333250000
2019-11-09,-526887200000
2019-11-10,-791792230000
2019-11-11,-1268727820000
2019-11-12,-850408040000
2019-11-13,-1875087860000
2019-11-14,-8251463670000
2019-11-15,-302334880000
2019-11-16,2517643030000
2019-11-17,-72523200000
2019-11-18,-135293870000
2019-11-19,-1904974770000
2019-11-20,-9141955730000
2019-11-21,11570632350000
2019-11-22,-421307600000
2019-11-23,2101066700000
2019-11-24,-81401750000
2019-11-25,14266435740000
2019-11-26,1103785980000
2019-11-27,5797014810000
2019-11-28,-9286881370000
2019-11-29,-371221420000
2019-11-30,255330930000
2019-12-01,1216696860000
2019-12-02,727478770000
2019-12-03,7218496840000
2019-12-04,-1093605230000
2019-12-05,606071570000
2019-12-06,192633790000
2019-12-07,-724346400000
2019-12-08,-102021100000
2019-12-09,21016745690000
2019-12-10,-3937174820000
2019-12-11,-4024466420000
2019-12-12,-568334420000
2019-12-13,-1183126150000
2019-12-14,63661910000
2019-12-15,575179690000
2019-12-16,-8363262330000
2019-12-17,-5027069420000
2019-12-18,12298095960000
2019-12-19,35733978970000
2019-12-20,13005480440000
2019-12-21,-485913440000
2019-12-22,475111000000
2019-12-23,-1126465110000
2019-12-24,-3535025040000
2019-12-25,-536269700000
2019-12-26,-218061550000
2019-12-27,2126188780000
2019-12-28,-470318530000
2019-12-29,783784750000
2019-12-30,-1569530380000
2019-12-31,-165919810000
2020-01-01,-1737566310000
2020-01-02,177199570000
2020-01-03,-629150060000
2020-01-04,-61406960000
2020-01-05,-5608240000
2020-01-06,-3778846970000
2020-01-07,-25537983840000
2020-01-08,-17561359490000
2020-01-09,-9548191390000
2020-01-10,-3339520290000
2020-01-11,-8580635700000
2020-01-12,-583710080000
2020-01-13,-1682514940000
2020-01-14,-15311435900000
2020-01-15,18584544350000
2020-01-16,-2021755970000
2020-01-17,-3646394850000
2020-01-18,-288071900000
2020-01-19,-258481400000
2020-01-20,322836640000
2020-01-21,2233685770000
2020-01-22,10345788310000
2020-01-23,-8899967590000
2020-01-24,173832870000
2020-01-25,-3019400000
2020-01-26,-563638370000
2020-01-27,-2019108060000
2020-01-28,-78846200000
2020-01-29,409200650000
2020-01-30,-6037037800000
2020-01-31,288241410000
2020-02-01,-1865599730000
2020-02-02,-1446621190000
2020-02-03,-1528796940000
2020-02-04,-1218403540000
2020-02-05,-8090132570000
2020-02-06,-668121530000
2020-02-07,-2331822500000
2020-02-08,-1473812710000
2020-02-09,3899723860000
2020-02-10,-4375994770000
2020-02-11,804731650000
2020-02-12,9113734880000
2020-02-13,-2105814740000
2020-02-14,1117294530000
2020-02-15,-418631980000
2020-02-16,-548633400000
2020-02-17,9903000000
2020-02-18,4299114720000
2020-02-19,1655200990000
2020-02-20,-10195414240000
2020-02-21,-152365550000
2020-02-22,1325430810000
2020-02-23,-642346890000
2020-02-24,1133688080000
2020-02-25,864694650000
2020-02-26,2171370510000
2020-02-27,12819793020000
2020-02-28,2255022870000
2020-02-29,-280419810000
2020-03-01,-121200200000
2020-03-02,12529518390000
2020-03-03,10772231170000
2020-03-04,413900710000
2020-03-05,-5188888420000
2020-03-06,2359330970000
2020-03-07,-339674570000
2020-03-08,-221127910000
2020-03-09,-6032501080000
2020-03-10,-2032570580000
2020-03-11,10476795590000
2020-03-12,31341980940000
2020-03-13,69001079770000
2020-03-14,-4400348040000
2020-03-15,38617113800000
2020-03-16,1082723770000
2020-03-17,24111861900000
2020-03-18,2164024140000
2020-03-19,23606901670000
2020-03-20,-7545299850000
2020-03-21,24230475070000
2020-03-22,-149724980000
2020-03-23,4921552640000
2020-03-24,16406378740000
2020-03-25,-1415669340000
2020-03-26,-3082913190000
2020-03-27,1779746390000
2020-03-28,-667663850000
2020-03-29,7594931430000
2020-03-30,-2222474660000
2020-03-31,622026880000
2020-04-01,-396081310000
2020-04-02,1332416320000
2020-04-03,9981259170000
2020-04-04,-638059730000
2020-04-05,-2359169340000
2020-04-06,-13759560780000
2020-04-07,9022892990000
2020-04-08,18226495590000
2020-04-09,-2114208760000
2020-04-10,-1949325970000
2020-04-11,-1514118800000
2020-04-12,8263212810000
2020-04-13,8318770380000
2020-04-14,10847334940000
2020-04-15,-1210526790000
2020-04-16,-1031192560000
2020-04-17,-3864987930000
2020-04-18,-290731880000
2020-04-19,-1840537850000
2020-04-20,8435178130000
2020-04-21,-9422449460000
2020-04-22,-705274180000
2020-04-23,9482701000000
2020-04-24,18128704860000
2020-04-25,979339860000
2020-04-26,-1111214120000
2020-04-27,-1337149830000
2020-04-28,-20504056470000
2020-04-29,-6562139890000
2020-04-30,1182285130000
2020-05-01,-13604712850000
2020-05-02,-2082630160000
2020-05-03,-574444690000
2020-05-04,2435789930000
2020-05-05,1067684090000
2020-05-06,1162821800000
2020-05-07,4940778810000
2020-05-08,4410329260000
2020-05-09,163583000000
2020-05-10,21297414700000
2020-05-11,1098153470000
2020-05-12,2101319420000
2020-05-13,20805763300000
2020-05-14,-42716642150000
2020-05-15,-807268980000
2020-05-16,-78051200000
2020-05-17,-50271510000
2020-05-18,-910170080000
2020-05-19,1266095330000
2020-05-20,6431117440000
2020-05-21,-1670519640000
2020-05-22,-735533010000
2020-05-23,-4167500000
2020-05-24,355823400000
2020-05-25,8388329810000
2020-05-26,-854021190000
2020-05-27,533121900000
2020-05-28,5853986220000
2020-05-29,681213530000
2020-05-30,-29741830000
2020-05-31,-15014034200000
2020-06-01,-705739300000
2020-06-02,10805006680000
2020-06-03,-4584029510000
2020-06-04,3448270770000
2020-06-05,271794770000
2020-06-06,-678350000000
2020-06-07,-4224400000
2020-06-08,2310542950000
2020-06-09,3620933990000
2020-06-10,-9931464730000
2020-06-11,-1353185160000
2020-06-12,-1585099690000
2020-06-13,9723172210000
2020-06-14,-4155100000
2020-06-15,10532074960000
2020-06-16,18297064330000
2020-06-17,30948807870000
2020-06-18,27014941150000
2020-06-19,52869284740000
2020-06-20,30733480910000
2020-06-21,19961740250000
2020-06-22,18497942310000
2020-06-23,-6412102680000
2020-06-24,-4833400530000
2020-06-25,711931570000
2020-06-26,12129988450000
2020-06-27,29996600100000
2020-06-28,-8804600000
2020-06-29,-1289814170000
2020-06-30,4136971010000
