,txvalue
2019-03-26,-6.574920999999998e+22
2019-03-27,7.5263476e+23
2019-03-28,-1.4288036000000002e+24
2019-03-29,-6.0653559e+23
2019-03-30,0.0
2019-03-31,3.4288e+22
2019-04-01,-2.8387457999999997e+24
2019-04-02,-3.70684245e+24
2019-04-03,5.6867216999999984e+23
2019-04-04,-1.0417278600000001e+24
2019-04-05,-3.25617019e+24
2019-04-06,1.9819141e+23
2019-04-07,-7.784367e+22
2019-04-08,-1.2354330700000003e+24
2019-04-09,4.27703122e+24
2019-04-10,-4.994646300000001e+23
2019-04-11,-3.03167292e+24
2019-04-12,2.893637399999998e+23
2019-04-13,1.4265163e+23
2019-04-14,2.48130623e+24
2019-04-15,-1.1926777e+24
2019-04-16,2.9256371000000014e+23
2019-04-17,9.540478399999999e+23
2019-04-18,-2.11725376e+24
2019-04-19,-2.2620207e+23
2019-04-20,6.435428400000002e+23
2019-04-21,0.0
2019-04-22,-3.32970864e+24
2019-04-23,-8.469817399999997e+23
2019-04-24,8.060793540000001e+24
2019-04-25,-7.470504999999998e+23
2019-04-26,1.686870136e+25
2019-04-27,2.845936e+24
2019-04-28,2.448501e+24
2019-04-29,1.8494518039999998e+25
2019-04-30,8.236247639999999e+24
2019-05-01,1.7792551600000004e+24
2019-05-02,5.434603390000001e+24
2019-05-03,9.05183064e+24
2019-05-04,3.10283146e+24
2019-05-05,2.507843e+24
2019-05-06,-2.33027132e+24
2019-05-07,-1.66832495e+24
2019-05-08,1.27217202e+24
2019-05-09,1.8537469699999998e+24
2019-05-10,9.23368282e+24
2019-05-11,0.0
2019-05-12,2.45008454e+24
2019-05-13,4.4226599999999996e+23
2019-05-14,3.870638e+24
2019-05-15,-3.0659094500000003e+24
2019-05-16,-1.131258689e+25
2019-05-17,2.652810699999995e+23
2019-05-18,7.5078196e+23
2019-05-19,5.617587729999999e+24
2019-05-20,-5.47668712e+24
2019-05-21,-4.2929328399999994e+24
2019-05-22,-1.9944720499999985e+24
2019-05-23,-1.9703806999999986e+23
2019-05-24,-7.4878715e+23
2019-05-25,-4.7840663e+23
2019-05-26,1.0589978e+23
2019-05-27,-6.182609289999999e+24
2019-05-28,1.8329179599999998e+24
2019-05-29,3.5501721999999994e+24
2019-05-30,-1.087036649e+25
2019-05-31,6.604340999999998e+22
2019-06-01,1.43743084e+24
2019-06-02,0.0
2019-06-03,-2.20220277e+24
2019-06-04,6.760937500000001e+23
2019-06-05,6.2361812e+23
2019-06-06,5.10157359e+24
2019-06-07,7.17528775e+24
2019-06-08,0.0
2019-06-09,0.0
2019-06-10,-2.7362153300000004e+24
2019-06-11,-5.30592428e+24
2019-06-12,8.525137880000001e+24
2019-06-13,-5.77694488e+24
2019-06-14,3.0282316500000004e+24
2019-06-15,3.52221244e+24
2019-06-16,0.0
2019-06-17,-1.13687562e+25
2019-06-18,-1.4982273000000006e+23
2019-06-19,-6.69723652e+24
2019-06-20,-2.51070666e+24
2019-06-21,7.840255900000005e+23
2019-06-22,0.0
2019-06-23,0.0
2019-06-24,-9.963566080000001e+24
2019-06-25,2.4089591399999998e+24
2019-06-26,-9.84858719e+24
2019-06-27,9.492255780000001e+24
2019-06-28,1.257843929e+25
2019-06-29,0.0
2019-06-30,0.0
2019-07-01,-1.541652978e+25
2019-07-02,5.628865319999999e+24
2019-07-03,5.328606349999999e+24
2019-07-04,-9.5491499e+23
2019-07-05,4.40014805e+24
2019-07-06,0.0
2019-07-07,0.0
2019-07-08,-9.47494077e+24
2019-07-09,-1.12546756e+25
2019-07-10,2.99843844e+24
2019-07-11,5.30114409e+24
2019-07-12,8.251506229999999e+24
2019-07-13,5.89608942e+24
2019-07-14,0.0
2019-07-15,7.484874679999999e+24
2019-07-16,-4.772565400000004e+23
2019-07-17,9.625980839999999e+24
2019-07-18,1.156306832e+25
2019-07-19,-2.3010544729999997e+25
2019-07-20,0.0
2019-07-21,8.767049e+24
2019-07-22,3.559769580000001e+24
2019-07-23,3.25266035e+24
2019-07-24,3.89149757e+24
2019-07-25,6.9098421e+24
2019-07-26,6.163332189999999e+24
2019-07-27,5.80917064e+24
2019-07-28,5.51849506e+24
2019-07-29,1.6678552140000001e+25
2019-07-30,3.77382159e+24
2019-07-31,6.88108853e+24
2019-08-01,5e+24
2019-08-02,-8.549029730000001e+24
2019-08-03,7.5e+24
2019-08-04,3e+24
2019-08-05,-1.380475602e+25
2019-08-06,9.375383599999996e+23
2019-08-07,-1.5000000000000002e+25
2019-08-08,-6.730365220000001e+24
2019-08-09,-1.05e+25
2019-08-10,0.0
2019-08-11,5.21671805e+24
2019-08-12,-1.91e+24
2019-08-13,-1.4e+25
2019-08-14,4e+24
2019-08-15,-1.05374297e+25
2019-08-16,6.31887259e+24
2019-08-17,0.0
2019-08-18,0.0
2019-08-19,6e+24
2019-08-20,-1.67565131e+24
2019-08-21,6.500000000000001e+23
2019-08-22,0.0
2019-08-23,2.71529338e+24
2019-08-24,0.0
2019-08-25,0.0
2019-08-26,9.7220243e+23
2019-08-27,-1.88112444e+24
2019-08-28,-1.47999852e+24
2019-08-29,1.01142868e+24
2019-08-30,1.61669193e+24
2019-08-31,0.0
2019-09-01,0.0
2019-09-02,1e+24
2019-09-03,1.88534417e+25
2019-09-04,3.6623208e+24
2019-09-05,1.0317512289999998e+25
2019-09-06,3.75208795e+24
2019-09-07,0.0
2019-09-08,0.0
2019-09-09,-1.28283612e+24
2019-09-10,-2.25990053e+24
2019-09-11,6.17011119e+24
2019-09-12,-8.249808e+23
2019-09-13,-2.3809859e+24
2019-09-14,0.0
2019-09-15,0.0
2019-09-16,-2.78534806e+24
2019-09-17,-3.70200642e+24
2019-09-18,-2.8809008e+24
2019-09-19,1.00071589e+24
2019-09-20,-8.8467466e+23
2019-09-21,0.0
2019-09-22,0.0
2019-09-23,1.124922954e+25
2019-09-24,1.015634808e+25
2019-09-25,7.83674449e+24
2019-09-26,-3.48898811e+24
2019-09-27,9.322652999999984e+22
2019-09-28,0.0
2019-09-29,0.0
2019-09-30,1.43738519e+24
2019-10-01,4.3483125500000004e+24
2019-10-02,-1.74680925e+24
2019-10-03,1.2862845e+24
2019-10-04,-1.07506348e+24
2019-10-05,0.0
2019-10-06,0.0
2019-10-07,-8.925312500000002e+23
2019-10-08,1.51075193e+24
2019-10-09,5.609451599999999e+24
2019-10-10,-7.063687199999999e+24
2019-10-11,-7.389830000000001e+23
2019-10-12,0.0
2019-10-13,0.0
2019-10-14,-8.657008700000001e+23
2019-10-15,-1.04669196e+24
2019-10-16,-3.9136127399999997e+24
2019-10-17,-1.4967892000000006e+24
2019-10-18,1.30975705e+24
2019-10-19,0.0
2019-10-20,0.0
2019-10-21,-1.82733221e+24
2019-10-22,8.14119151e+24
2019-10-23,1.42186057e+24
2019-10-24,-1.9875421e+23
2019-10-25,1.24517321e+24
2019-10-26,0.0
2019-10-27,5.09435508e+24
2019-10-28,-2.8104479399999996e+24
2019-10-29,-6.796327390000001e+24
2019-10-30,-1.9045372199999997e+24
2019-10-31,-4.81618964e+24
2019-11-01,-5.65134397e+24
2019-11-02,0.0
2019-11-03,0.0
2019-11-04,7.571613710000001e+24
2019-11-05,-6.42476171e+24
2019-11-06,6.04492369999999e+23
2019-11-07,-2.41312686e+24
2019-11-08,-1.006940327e+25
2019-11-09,0.0
2019-11-10,0.0
2019-11-11,8.7739296e+23
2019-11-12,-4.70191252e+24
2019-11-13,2.2677172500000003e+24
2019-11-14,1.98604477e+24
2019-11-15,-5.47269714e+24
2019-11-16,0.0
2019-11-17,0.0
2019-11-18,-8.20600728e+24
2019-11-19,1.27269365e+24
2019-11-20,1.31133518e+24
2019-11-21,-1.5215284500000001e+24
2019-11-22,-1.0464708529999998e+25
2019-11-23,0.0
2019-11-24,0.0
2019-11-25,-2.2432199299999997e+24
2019-11-26,-2.370426199999999e+23
2019-11-27,3.9240943600000006e+24
2019-11-28,-2.18883903e+24
2019-11-29,1.063148289e+25
2019-11-30,0.0
2019-12-01,0.0
2019-12-02,1.7976592629999998e+25
2019-12-03,5.12575938e+24
2019-12-04,-1.7051299099999998e+24
2019-12-05,-5.772845099999999e+24
2019-12-06,1.31497562e+24
2019-12-07,0.0
2019-12-08,0.0
2019-12-09,9.904789099999999e+23
2019-12-10,8.5659246e+23
2019-12-11,-3.4969814499999997e+24
2019-12-12,-5.811252499999999e+23
2019-12-13,-4.51942893e+24
2019-12-14,0.0
2019-12-15,0.0
2019-12-16,8.25723066e+24
2019-12-17,2.2295033999999997e+24
2019-12-18,1.63046774e+24
2019-12-19,-4.10109399e+24
2019-12-20,-1.3802889999999981e+23
2019-12-21,0.0
2019-12-22,0.0
2019-12-23,-4.078173199999999e+23
2019-12-24,-4.5185967600000006e+24
2019-12-25,0.0
2019-12-26,-6.482567429999999e+24
2019-12-27,-2.77474322e+24
2019-12-28,0.0
2019-12-29,0.0
2019-12-30,1.9019618400000007e+24
2019-12-31,-9.9206921e+23
2020-01-01,0.0
2020-01-02,-3.17871946e+24
2020-01-03,3.1992397070000005e+25
2020-01-04,0.0
2020-01-05,0.0
2020-01-06,5.97418636e+24
2020-01-07,5.65233649e+24
2020-01-08,1.38052518e+24
2020-01-09,-6.707809590000001e+24
2020-01-10,-1.518816511e+25
2020-01-11,0.0
2020-01-12,0.0
2020-01-13,-1.184067271e+25
2020-01-14,6.5465664e+23
2020-01-15,-8.39034117e+24
2020-01-16,7.894436319999999e+24
2020-01-17,-9.045439949999999e+24
2020-01-18,0.0
2020-01-19,0.0
2020-01-20,-4.1963997000000004e+24
2020-01-21,-4.7325540100000005e+24
2020-01-22,-3.5280870400000003e+24
2020-01-23,-2.1545289e+23
2020-01-24,-5.935375800000001e+23
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,-8.055327100000001e+23
2020-01-28,6.07160792e+24
2020-01-29,3.67035154e+24
2020-01-30,9.4533517e+24
2020-01-31,-1.53680789e+24
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,-2.5320706199999995e+24
2020-02-04,-2.2039826200000002e+24
2020-02-05,-1.5666133700000003e+24
2020-02-06,6.043825069999999e+24
2020-02-07,-1.184480834e+25
2020-02-08,6.157984639999999e+24
2020-02-09,0.0
2020-02-10,-3.33917219e+24
2020-02-11,2.30757233e+24
2020-02-12,-5.061714120000001e+24
2020-02-13,1.0165725300000001e+24
2020-02-14,-6.43600429e+24
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,1.3163597399999998e+24
2020-02-18,-7.589010600000001e+23
2020-02-19,2.9363882099999996e+24
2020-02-20,6.00663074e+24
2020-02-21,4.5137935799999996e+24
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,-1.901437518e+25
2020-02-25,-2.255717e+24
2020-02-26,-3.092560000000167e+21
2020-02-27,2.6724272e+23
2020-02-28,-2.1694622e+24
2020-02-29,-6.8723751e+23
2020-03-01,0.0
2020-03-02,-7.893900500000001e+24
2020-03-03,-1.55561452e+24
2020-03-04,1.40885062e+24
2020-03-05,-4.510525199999999e+23
2020-03-06,1.76453266e+24
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,8.08605046e+24
2020-03-10,4.65765299e+24
2020-03-11,4.19115194e+24
2020-03-12,-1.5860829670000002e+25
2020-03-13,2.095940408e+25
2020-03-14,7.6587033e+24
2020-03-15,8.8742569e+23
2020-03-16,-5.664328239999999e+24
2020-03-17,7.50220474e+24
2020-03-18,4.4416080300000005e+24
2020-03-19,5.71463856e+24
2020-03-20,-3.2680788700000003e+24
2020-03-21,0.0
2020-03-22,5.216713e+23
2020-03-23,1.477571464e+25
2020-03-24,1.8489507370000001e+25
2020-03-25,2.39299283e+24
2020-03-26,-7.867191e+24
2020-03-27,-4.867992200000001e+24
2020-03-28,0.0
2020-03-29,-3.04227571e+24
2020-03-30,-7.097813309999998e+24
2020-03-31,3.35404511e+24
2020-04-01,3.47213611e+24
2020-04-02,1.04646361e+24
2020-04-03,-3.4987215199999996e+24
2020-04-04,0.0
2020-04-05,0.0
2020-04-06,7.982954299999995e+23
2020-04-07,3.07435625e+24
2020-04-08,-3.623521100000002e+23
2020-04-09,3.168025e+24
2020-04-10,-3.7312631e+23
2020-04-11,0.0
2020-04-12,3.25940523e+24
2020-04-13,1.9119449999999827e+22
2020-04-14,4.2971183999999993e+24
2020-04-15,-4.8323843200000006e+24
2020-04-16,-1.0305317e+24
2020-04-17,-5.02571863e+24
2020-04-18,-8.9764319e+23
2020-04-19,1.58846847e+24
2020-04-20,8.11142002e+24
2020-04-21,6.21480954e+24
2020-04-22,1.37781609e+24
2020-04-23,-5.45417669e+24
2020-04-24,-4.72674874e+24
2020-04-25,1.42587564e+24
2020-04-26,2.22029299e+24
2020-04-27,3.35096185e+24
2020-04-28,-2.183168e+23
2020-04-29,-6.763208059999999e+24
2020-04-30,-3.5830234099999997e+24
2020-05-01,2.6838355999999996e+23
2020-05-02,-4.7349725300000004e+24
2020-05-03,2.6505166e+24
2020-05-04,3.96940358e+24
2020-05-05,4.6654123e+24
2020-05-06,-2.6307544799999996e+24
2020-05-07,2.30187853e+24
2020-05-08,-3.4465755299999996e+24
2020-05-09,1.84194676e+24
2020-05-10,-9.817267000000001e+24
2020-05-11,-5.8830942e+24
2020-05-12,2.37320507e+24
2020-05-13,3.71949429e+24
2020-05-14,-5.476404140000001e+24
2020-05-15,5.521435930000001e+24
2020-05-16,0.0
2020-05-17,0.0
2020-05-18,3.48100294e+24
2020-05-19,-5.49408927e+24
2020-05-20,-2.0663498700000002e+24
2020-05-21,-2.45835841e+24
2020-05-22,2.74552309e+24
2020-05-23,0.0
2020-05-24,4.86881366e+24
2020-05-25,9.6262787e+23
2020-05-26,-4.65609935e+24
2020-05-27,2.43371555e+24
2020-05-28,1.46104902e+24
2020-05-29,-6.06726194e+24
2020-05-30,0.0
2020-05-31,0.0
2020-06-01,-1.8017208200000007e+24
2020-06-02,-1.5555198299999998e+24
2020-06-03,-2.25174771e+24
2020-06-04,3.6356179e+24
2020-06-05,1.1587124399999998e+24
2020-06-06,0.0
2020-06-07,0.0
2020-06-08,7.224281799999994e+23
2020-06-09,1.0013519299999998e+24
2020-06-10,3.46055879e+24
2020-06-11,-3.40588023e+24
2020-06-12,2.1295939099999993e+24
2020-06-13,0.0
2020-06-14,0.0
2020-06-15,-1.9453236900000005e+24
2020-06-16,3.77539408e+24
2020-06-17,-2.0863502200000005e+24
2020-06-18,-1.06143695e+24
2020-06-19,-2.1645368299999996e+24
2020-06-20,0.0
2020-06-21,1.8452517e+24
2020-06-22,1.8332779000000027e+23
2020-06-23,2.84938343e+24
2020-06-24,-5.799809460000001e+24
2020-06-25,2.3424802599999997e+24
2020-06-26,-4.39492372e+24
2020-06-27,0.0
2020-06-28,4.40272845e+24
2020-06-29,-7.791927850000001e+24
2020-06-30,2.44646451e+24
